Price,Close,High,Low,Open,Volume
Ticker,WYNN,WYNN,WYNN,WYNN,WYNN
Date,,,,,
2010-01-04,40.872894287109375,40.9943131397212,38.93021702269976,39.134711547455794,4741400
2010-01-05,43.35877227783203,43.66551298105867,41.505559181387994,41.65254021898115,5644300
2010-01-06,42.790016174316406,43.55686527808582,42.43215618451003,42.86031079738218,2738800
2010-01-07,43.70383071899414,43.761346703573366,42.2276537462926,42.48327005175198,2388500
2010-01-08,43.390724182128906,43.703851747355145,42.89866170415269,43.256526654174806,1539800
2010-01-11,43.250118255615234,44.16394334464509,43.071188287213744,43.46738896710961,1909000
2010-01-12,43.44182205200195,44.01695257227684,42.67497323251061,43.11591118183126,3306500
2010-01-13,44.349266052246094,44.540974647466854,43.096751369994635,43.72300627338232,2959300
2010-01-14,46.08106231689453,46.253600550554026,44.106431001255935,44.106431001255935,4431900
2010-01-15,45.05221176147461,46.55395117842845,44.521808665657765,45.997990834442916,2742300
2010-01-19,45.576229095458984,45.72321010686091,44.78382266025339,44.860504165787255,1326000
2010-01-20,43.556861877441406,45.19279870366317,42.943380692131925,44.93718235569694,3639200
2010-01-21,41.7739372253418,44.08086597773743,41.69725087086786,43.556854744187696,2756800
2010-01-22,40.866512298583984,42.24044360206648,40.64284736238562,41.671699730778236,2227900
2010-01-25,40.63645553588867,41.863410639676864,40.09966313505726,41.537499661812305,2048000
2010-01-26,40.1635627746582,40.95596903163617,40.06131672737917,40.1635627746582,1623100
2010-01-27,40.10606002807617,40.39362787533243,38.866326066029835,40.099670714909905,2616200
2010-01-28,39.47340774536133,41.134909278869905,39.36476993464232,40.49586835233709,2331500
2010-01-29,39.54370880126953,40.94959419284356,39.4031195307905,40.0038149303794,2626500
2010-02-01,41.88257598876953,41.946478851641565,39.81209056602708,39.81209056602708,2510900
2010-02-02,41.43524169921875,41.94647429764391,40.61088413162046,41.61417652150033,1950000
2010-02-03,41.05183792114258,41.07740004996469,40.348896442705964,40.94959428133169,1976800
2010-02-04,38.87910079956055,40.74509197083322,38.82158723947402,40.52781879247725,2245400
2010-02-05,39.2177848815918,39.70345541779823,38.15059195211103,39.23056594178017,2634800
2010-02-08,38.82796859741211,40.10604528174446,38.36147090015934,39.39671476963977,1496200
2010-02-09,39.38394546508789,39.997421871612985,38.72573411854045,39.639559415604076,1838500
2010-02-10,39.236968994140625,39.869615810421536,38.8854958320527,39.30087187575369,1256000
2010-02-11,41.511940002441406,41.76116462516688,38.97495883786876,39.160278148524625,2880900
2010-02-12,40.28499221801758,40.82178471672774,39.773761847279026,40.73231970656583,3141400
2010-02-16,41.479984283447266,41.61418176044647,40.757867781601455,40.88567594729793,1977000
2010-02-17,41.160465240478516,42.01677434701815,40.60450008330098,41.84423612608776,1679100
