Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,61.2400016784668,64.1500015258789,60.91999816894531,63.959999084472656,40.87290573120117,4741400
2010-01-05,65.18000030517578,68.33000183105469,64.94999694824219,67.8499984741211,43.358760833740234,5644300
2010-01-06,67.06999969482422,68.16000366210938,66.4000015258789,66.95999908447266,42.7900276184082,2738800
2010-01-07,66.4800033569336,68.4800033569336,66.08000183105469,68.38999938964844,43.70383834838867,2388500
2010-01-08,67.69000244140625,68.38999938964844,67.12999725341797,67.9000015258789,43.390708923339844,1539800
2010-01-11,68.0199966430664,69.11000061035156,67.4000015258789,67.68000030517578,43.2501220703125,1909000
2010-01-12,67.47000122070312,68.87999725341797,66.77999877929688,67.9800033569336,43.441829681396484,3306500
2010-01-13,68.41999816894531,69.69999694824219,67.44000244140625,69.4000015258789,44.34926986694336,2959300
2010-01-14,69.0199966430664,72.37999725341797,69.0199966430664,72.11000061035156,46.081058502197266,4431900
2010-01-15,71.9800033569336,72.8499984741211,69.66999816894531,70.5,45.05221176147461,2742300
2010-01-19,70.19999694824219,71.55000305175781,70.08000183105469,71.31999969482422,45.576229095458984,1326000
2010-01-20,70.31999969482422,70.72000122070312,67.19999694824219,68.16000366210938,43.55686569213867,3639200
2010-01-21,68.16000366210938,68.9800033569336,65.25,65.37000274658203,41.77395248413086,2756800
2010-01-22,65.20999908447266,66.0999984741211,63.599998474121094,63.95000076293945,40.86650466918945,2227900
2010-01-25,65.0,65.51000213623047,62.75,63.59000015258789,40.63644790649414,2048000
2010-01-26,62.849998474121094,64.08999633789062,62.689998626708984,62.849998474121094,40.16357421875,1623100
2010-01-27,62.75,63.209999084472656,60.81999969482422,62.7599983215332,40.106040954589844,2616200
2010-01-28,63.369998931884766,64.37000274658203,61.599998474121094,61.77000045776367,39.47339630126953,2331500
2010-01-29,62.599998474121094,64.08000183105469,61.65999984741211,61.880001068115234,39.5436897277832,2626500
2010-02-01,62.29999923706055,65.63999938964844,62.29999923706055,65.54000091552734,41.8825798034668,2510900
2010-02-02,65.12000274658203,65.63999938964844,63.54999923706055,64.83999633789062,41.43525695800781,1950000
2010-02-03,64.08000183105469,64.27999877929688,63.13999938964844,64.23999786376953,41.05182647705078,1976800
2010-02-04,63.41999816894531,63.7599983215332,60.75,60.84000015258789,38.87909698486328,2245400
2010-02-05,61.38999938964844,62.130001068115234,59.70000076293945,61.369998931884766,39.21780014038086,2634800
2010-02-08,61.650001525878906,62.7599983215332,60.029998779296875,60.7599983215332,38.82796859741211,1496200
2010-02-09,62.029998779296875,62.59000015258789,60.599998474121094,61.630001068115234,39.38393783569336,1838500
2010-02-10,61.5,62.38999938964844,60.849998474121094,61.400001525878906,39.236961364746094,1256000
2010-02-11,61.279998779296875,65.3499984741211,60.9900016784668,64.95999908447266,41.51193618774414,2880900
2010-02-12,63.7400016784668,63.880001068115234,62.2400016784668,63.040000915527344,40.28498458862305,3141400
